BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
1,BOWEN HILLS,BOWEN PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4490972,153.0292193
2,BOWEN HILLS,BOWEN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4488617,153.0293348
3,BOWEN HILLS,BOWEN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4481868,153.0302469
4,BOWEN HILLS,JEAYS STREET PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4487881,153.0362064
5,BRISBANE CITY,ANZAC SQUARE,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4664855,153.0264626
6,BRISBANE CITY,ANZAC SQUARE,BUBBLER/DRINKING FOUNTAIN,BOWL SHAPED DRINKING FOUNTAIN,-27.4663534,153.0266365
7,BRISBANE CITY,KING EDWARD PARK,TAP COMBINATION,BUBBLER & TAP NEAR CHESS PAVEMENT,-27.4657953,153.0236887
8,BRISBANE CITY,KING EDWARD PARK,TAP COMBINATION,BUBBLER & ANTI-VANDAL TAP NEAR JACOBS LA,-27.4658626,153.0243761
9,BRISBANE CITY,EMMA MILLER PLACE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4670254,153.0215589
10,BRISBANE CITY,EMMA MILLER PLACE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4671073,153.0222037
11,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4754079,153.0286773
12,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4788978,153.0287439
13,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4772831,153.0304334
14,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4744193,153.0305353
15,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.4760785,153.0307241
16,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4761114,153.0289927
17,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4764261,153.0296389
18,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4731253,153.0300367
19,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & TAP,-27.4757524,153.0306732
20,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & TAP,-27.4756452,153.0307153
21,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4746759,153.0312301
22,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & TAP,-27.4740925,153.0292592
23,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4789502,153.0293266
24,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & TAP,-27.4779694,153.0312519
25,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4735846,153.0291963
26,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & TAP,-27.4793133,153.0291305
27,BRISBANE CITY,CITY BOTANIC GARDENS,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4750215,153.0279453
28,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4773427,153.03143
29,BRISBANE CITY,CITY BOTANIC GARDENS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4732694,153.0307548
