service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BBL 17_18-399-Weekday-01,1,1,1,1,1,0,0,20170714,20170929
BCC 17_18-BCC_FUL-Friday-01,0,0,0,0,1,0,0,20170714,20170929
BCC 17_18-BCC_SAT-Saturday-01,0,0,0,0,0,1,0,20170715,20170930
BCC 17_18-BCC_SUN-Sunday-01,0,0,0,0,0,0,1,20170716,20170924
BCC 17_18-BCC_FUL-M-Tu-W-Th-01,1,1,1,1,0,0,0,20170717,20170928
BCC 17_18-BCC_FUL-M-Tu-W-Th-01-0110000,0,1,1,0,0,0,0,20170717,20170928
BCC 17_18-BCC_PH-Sunday-01,0,0,0,0,0,0,1,20170816,20170816
BIC 17_18-BIC_FUL-Weekday-01,1,1,1,1,1,0,0,20170714,20170915
BIC 17_18-BIC_SAT-Saturday-01,0,0,0,0,0,1,0,20170715,20170930
BIC 17_18-BIC_SUN-Sunday-01,0,0,0,0,0,0,1,20170716,20170924
BIC 17_18-BIC_WD-Weekday-01,1,1,1,1,1,0,0,20170814,20170929
BITS 17_18-BITS_WD-Weekday-01,1,1,1,1,1,0,0,20170714,20170728
BITS 17_18-BITS_WD-Weekday-01-0000100,0,0,0,0,1,0,0,20170714,20170728
BITS 17_18-BITS_SAT-Saturday-01,0,0,0,0,0,1,0,20170715,20170729
BITS 17_18-BITS_SUN-Sunday-01,0,0,0,0,0,0,1,20170716,20170730
BITS 17_18-BITS_WD-Weekday-02,1,1,1,1,1,0,0,20170731,20170915
BITS 17_18-BITS_WD-Weekday-02-0000100,0,0,0,0,1,0,0,20170731,20170915
BITS 17_18-BITS_SAT-Saturday-02,0,0,0,0,0,1,0,20170805,20170930
BITS 17_18-BITS_SUN-Sunday-02,0,0,0,0,0,0,1,20170806,20170924
BITS 17_18-BITS_HSC-Weekday-02,1,1,1,1,1,0,0,20170814,20170929
BITS 17_18-BITS_HSC-Weekday-02-0000100,0,0,0,0,1,0,0,20170814,20170929
BLKS 17_18-BLINK-Weekday-01,1,1,1,1,1,0,0,20170714,20170915
BT 17_18-JUL_HUNO-Weekday-01,1,1,1,1,1,0,0,20170714,20170714
BT 17_18-JUL_HUNO-Weekday-01-0000100,0,0,0,0,1,0,0,20170714,20170714
BT 17_18-JUL_FUL-Saturday-01,0,0,0,0,0,1,0,20170715,20170930
BT 17_18-JUL_FUL-Sunday-01,0,0,0,0,0,0,1,20170716,20170924
BT 17_18-JUL_FUL-Weekday-01,1,1,1,1,1,0,0,20170717,20170915
BT 17_18-JUL_FUL-Weekday-01-0000100,0,0,0,0,1,0,0,20170717,20170915
BT 17_18-UQ-Sunday-00,0,0,0,0,0,0,1,20170806,20170806
BT 17_18-JUL_PH-Sunday-01,0,0,0,0,0,0,1,20170816,20170816
BT 17_18-JUL_HSC-Weekday-01,1,1,1,1,1,0,0,20170918,20170922
BT 17_18-JUL_HSC-Weekday-01-0000100,0,0,0,0,1,0,0,20170918,20170922
BT 17_18-JUL_UNSO-Weekday-01,1,1,1,1,1,0,0,20170925,20170929
BT 17_18-JUL_UNSO-Weekday-01-0000100,0,0,0,0,1,0,0,20170925,20170929
CBL 17_18-CBL_FUL-Weekday-02,1,1,1,1,1,0,0,20170714,20170915
CBL 17_18-CBL_FUL-Weekday-02-0001000,0,0,0,1,0,0,0,20170714,20170915
CBL 17_18-CBL_FUL-Saturday-02,0,0,0,0,0,1,0,20170715,20170930
CBL 17_18-CBL_FUL-Sunday-02,0,0,0,0,0,0,1,20170716,20170924
CBL 17_18-CBL_HSC-Weekday-02,1,1,1,1,1,0,0,20170814,20170929
