service_id,date,exception_type
BBL 17_18-399-Weekday-01,20170816,2
BCC 17_18-BCC_FUL-M-Tu-W-Th-01,20170816,2
BCC 17_18-BCC_FUL-M-Tu-W-Th-01-0110000,20170816,2
BCC 17_18-BCC_PH-Sunday-01,20170816,1
BIC 17_18-BIC_FUL-Weekday-01,20170814,2
BIC 17_18-BIC_WD-Weekday-01,20170815,2
BIC 17_18-BIC_WD-Weekday-01,20170816,2
BIC 17_18-BIC_WD-Weekday-01,20170817,2
BIC 17_18-BIC_WD-Weekday-01,20170818,2
BIC 17_18-BIC_WD-Weekday-01,20170821,2
BIC 17_18-BIC_WD-Weekday-01,20170822,2
BIC 17_18-BIC_WD-Weekday-01,20170823,2
BIC 17_18-BIC_WD-Weekday-01,20170824,2
BIC 17_18-BIC_WD-Weekday-01,20170825,2
BIC 17_18-BIC_WD-Weekday-01,20170828,2
BIC 17_18-BIC_WD-Weekday-01,20170829,2
BIC 17_18-BIC_WD-Weekday-01,20170830,2
BIC 17_18-BIC_WD-Weekday-01,20170831,2
BIC 17_18-BIC_WD-Weekday-01,20170901,2
BIC 17_18-BIC_WD-Weekday-01,20170904,2
BIC 17_18-BIC_WD-Weekday-01,20170905,2
BIC 17_18-BIC_WD-Weekday-01,20170906,2
BIC 17_18-BIC_WD-Weekday-01,20170907,2
BIC 17_18-BIC_WD-Weekday-01,20170908,2
BIC 17_18-BIC_WD-Weekday-01,20170911,2
BIC 17_18-BIC_WD-Weekday-01,20170912,2
BIC 17_18-BIC_WD-Weekday-01,20170913,2
BIC 17_18-BIC_WD-Weekday-01,20170914,2
BIC 17_18-BIC_WD-Weekday-01,20170915,2
BITS 17_18-BITS_WD-Weekday-02,20170814,2
BITS 17_18-BITS_WD-Weekday-02-0000100,20170814,2
BITS 17_18-BITS_HSC-Weekday-02,20170815,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170815,2
BITS 17_18-BITS_HSC-Weekday-02,20170816,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170816,2
BITS 17_18-BITS_HSC-Weekday-02,20170817,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170817,2
BITS 17_18-BITS_HSC-Weekday-02,20170818,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170818,2
BITS 17_18-BITS_HSC-Weekday-02,20170821,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170821,2
BITS 17_18-BITS_HSC-Weekday-02,20170822,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170822,2
BITS 17_18-BITS_HSC-Weekday-02,20170823,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170823,2
BITS 17_18-BITS_HSC-Weekday-02,20170824,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170824,2
BITS 17_18-BITS_HSC-Weekday-02,20170825,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170825,2
BITS 17_18-BITS_HSC-Weekday-02,20170828,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170828,2
BITS 17_18-BITS_HSC-Weekday-02,20170829,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170829,2
BITS 17_18-BITS_HSC-Weekday-02,20170830,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170830,2
BITS 17_18-BITS_HSC-Weekday-02,20170831,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170831,2
BITS 17_18-BITS_HSC-Weekday-02,20170901,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170901,2
BITS 17_18-BITS_HSC-Weekday-02,20170904,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170904,2
BITS 17_18-BITS_HSC-Weekday-02,20170905,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170905,2
BITS 17_18-BITS_HSC-Weekday-02,20170906,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170906,2
BITS 17_18-BITS_HSC-Weekday-02,20170907,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170907,2
BITS 17_18-BITS_HSC-Weekday-02,20170908,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170908,2
BITS 17_18-BITS_HSC-Weekday-02,20170911,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170911,2
BITS 17_18-BITS_HSC-Weekday-02,20170912,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170912,2
BITS 17_18-BITS_HSC-Weekday-02,20170913,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170913,2
BITS 17_18-BITS_HSC-Weekday-02,20170914,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170914,2
BITS 17_18-BITS_HSC-Weekday-02,20170915,2
BITS 17_18-BITS_HSC-Weekday-02-0000100,20170915,2
BT 17_18-JUL_FUL-Sunday-01,20170806,2
BT 17_18-JUL_FUL-Weekday-01,20170816,2
BT 17_18-JUL_FUL-Weekday-01-0000100,20170816,2
BT 17_18-JUL_PH-Sunday-01,20170816,1
CBL 17_18-CBL_FUL-Weekday-02,20170814,2
CBL 17_18-CBL_FUL-Weekday-02-0001000,20170814,2
CBL 17_18-CBL_HSC-Weekday-02,20170815,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170815,2
CBL 17_18-CBL_HSC-Weekday-02,20170816,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170816,2
CBL 17_18-CBL_HSC-Weekday-02,20170817,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170817,2
CBL 17_18-CBL_HSC-Weekday-02,20170818,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170818,2
CBL 17_18-CBL_HSC-Weekday-02,20170821,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170821,2
CBL 17_18-CBL_HSC-Weekday-02,20170822,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170822,2
CBL 17_18-CBL_HSC-Weekday-02,20170823,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170823,2
CBL 17_18-CBL_HSC-Weekday-02,20170824,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170824,2
CBL 17_18-CBL_HSC-Weekday-02,20170825,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170825,2
CBL 17_18-CBL_HSC-Weekday-02,20170828,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170828,2
CBL 17_18-CBL_HSC-Weekday-02,20170829,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170829,2
CBL 17_18-CBL_HSC-Weekday-02,20170830,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170830,2
CBL 17_18-CBL_HSC-Weekday-02,20170831,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170831,2
CBL 17_18-CBL_HSC-Weekday-02,20170901,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170901,2
CBL 17_18-CBL_HSC-Weekday-02,20170904,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170904,2
CBL 17_18-CBL_HSC-Weekday-02,20170905,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170905,2
CBL 17_18-CBL_HSC-Weekday-02,20170906,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170906,2
CBL 17_18-CBL_HSC-Weekday-02,20170907,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170907,2
CBL 17_18-CBL_HSC-Weekday-02,20170908,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170908,2
CBL 17_18-CBL_HSC-Weekday-02,20170911,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170911,2
CBL 17_18-CBL_HSC-Weekday-02,20170912,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170912,2
CBL 17_18-CBL_HSC-Weekday-02,20170913,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170913,2
CBL 17_18-CBL_HSC-Weekday-02,20170914,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170914,2
CBL 17_18-CBL_HSC-Weekday-02,20170915,2
CBL 17_18-CBL_HSC-Weekday-02-0001000,20170915,2
EVENT17_18-RBUS-Weekday-02,20170717,2
EVENT17_18-RBUS-Weekday-02-0001100,20170717,2
EVENT17_18-RBUS-Weekday-02-0000100,20170717,2
EVENT17_18-RBUS-Weekday-02,20170718,2
EVENT17_18-RBUS-Weekday-02-0001100,20170718,2
EVENT17_18-RBUS-Weekday-02-0000100,20170718,2
EVENT17_18-RBUS-Weekday-02,20170719,2
EVENT17_18-RBUS-Weekday-02-0001100,20170719,2
EVENT17_18-RBUS-Weekday-02-0000100,20170719,2
EVENT17_18-RBUS-Weekday-02,20170720,2
EVENT17_18-RBUS-Weekday-02-0001100,20170720,2
EVENT17_18-RBUS-Weekday-02-0000100,20170720,2
EVENT17_18-RBUS-Weekday-02,20170724,2
EVENT17_18-RBUS-Weekday-02-0001100,20170724,2
EVENT17_18-RBUS-Weekday-02-0000100,20170724,2
EVENT17_18-RBUS-Weekday-02,20170725,2
EVENT17_18-RBUS-Weekday-02-0001100,20170725,2
EVENT17_18-RBUS-Weekday-02-0000100,20170725,2
EVENT17_18-RBUS-Weekday-02,20170726,2
EVENT17_18-RBUS-Weekday-02-0001100,20170726,2
EVENT17_18-RBUS-Weekday-02-0000100,20170726,2
EVENT17_18-RBUS-Weekday-02,20170727,2
EVENT17_18-RBUS-Weekday-02-0001100,20170727,2
EVENT17_18-RBUS-Weekday-02-0000100,20170727,2
EVENT17_18-RBUS-Weekday-02,20170731,2
EVENT17_18-RBUS-Weekday-02-0001100,20170731,2
EVENT17_18-RBUS-Weekday-02-0000100,20170731,2
EVENT17_18-RBUS-Weekday-02,20170801,2
EVENT17_18-RBUS-Weekday-02-0001100,20170801,2
EVENT17_18-RBUS-Weekday-02-0000100,20170801,2
EVENT17_18-RBUS-Weekday-02,20170802,2
EVENT17_18-RBUS-Weekday-02-0001100,20170802,2
EVENT17_18-RBUS-Weekday-02-0000100,20170802,2
EVENT17_18-RBUS-Weekday-02,20170803,2
EVENT17_18-RBUS-Weekday-02-0001100,20170803,2
EVENT17_18-RBUS-Weekday-02-0000100,20170803,2
EVENT17_18-RBUS-Weekday-02,20170807,2
EVENT17_18-RBUS-Weekday-02-0001100,20170807,2
EVENT17_18-RBUS-Weekday-02-0000100,20170807,2
EVENT17_18-RBUS-Weekday-02,20170808,2
EVENT17_18-RBUS-Weekday-02-0001100,20170808,2
EVENT17_18-RBUS-Weekday-02-0000100,20170808,2
EVENT17_18-RBUS-Weekday-02,20170809,2
EVENT17_18-RBUS-Weekday-02-0001100,20170809,2
EVENT17_18-RBUS-Weekday-02-0000100,20170809,2
EVENT17_18-RBUS-Weekday-02,20170810,2
EVENT17_18-RBUS-Weekday-02-0001100,20170810,2
EVENT17_18-RBUS-Weekday-02-0000100,20170810,2
EVENT17_18-RBUS-Weekday-02,20170814,2
EVENT17_18-RBUS-Weekday-02-0001100,20170814,2
EVENT17_18-RBUS-Weekday-02-0000100,20170814,2
